path,label
images/grapes/train/grape_r_161_100.jpg,2
images/grapes/train/grape_r_309_100(1).jpg,2
images/grapes/train/grape_r_288_100.jpg,2
images/grapes/train/grape_311_100.jpg,2
images/grapes/train/Screenshot from 2025-10-01 11-12-12.png,2
images/grapes/train/grape_r_308_100(1).jpg,2
images/grapes/train/grape_148_100.jpg,2
images/grapes/train/grape_150_100(1).jpg,2
images/grapes/train/grape_r_65_100(1).jpg,2
images/grapes/train/Screenshot from 2025-10-01 10-35-02.png,2
images/grapes/train/Screenshot from 2025-10-01 10-23-03.png,2
images/grapes/train/grape_159_100.jpg,2
images/grapes/train/grape_r_287_100(1).jpg,2
images/grapes/train/grape_r_271_100(1).jpg,2
images/grapes/train/Screenshot from 2025-10-01 11-01-40.png,2
images/grapes/train/Screenshot from 2025-10-01 11-08-18.png,2
images/grapes/train/grape_r_179_100.jpg,2
images/grapes/train/grape_185_100.jpg,2
images/grapes/train/grape_r_66_100(1).jpg,2
images/grapes/train/Screenshot from 2025-10-01 10-34-24.png,2
images/grapes/train/grape_r_239_100.jpg,2
images/grapes/train/Screenshot from 2025-10-01 10-53-21.png,2
images/grapes/train/grape_r_178_100(1).jpg,2
images/grapes/train/grape_4_100 (1).jpg,2
images/grapes/train/Screenshot from 2025-10-01 11-18-43.png,2
images/grapes/train/Screenshot from 2025-10-01 11-19-52.png,2
images/grapes/train/Screenshot from 2025-10-01 10-55-21.png,2
images/grapes/train/grape_r_184_100(1).jpg,2
images/grapes/train/Screenshot from 2025-10-01 10-55-13.png,2
images/grapes/train/grape_285_100(1).jpg,2
images/grapes/train/grape_187_100(1).jpg,2
images/grapes/train/grape_r_315_100.jpg,2
images/grapes/train/Screenshot from 2025-10-01 10-47-41.png,2
images/grapes/train/grape_r_241_100.jpg,2
images/grapes/train/grape_r_110_100.jpg,2
images/grapes/train/Screenshot from 2025-10-01 10-34-27.png,2
images/grapes/train/grape_r_48_100(1).jpg,2
images/grapes/train/Screenshot from 2025-10-01 10-23-09.png,2
images/grapes/train/grape_208_100.jpg,2
images/grapes/train/grape_r_17_100(1).jpg,2
images/grapes/train/Screenshot from 2025-10-01 11-08-38.png,2
images/grapes/train/grape_r_206_100(1).jpg,2
images/grapes/train/grape_167_100(1).jpg,2
images/grapes/train/grape_r_208_100(1).jpg,2
